"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"FDBG_FDS_T24_TAFJ2-131","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","4 seconds","22.19 MB","12 minutes and 36 seconds","30 minutes","0 seconds","Disabled"
"FDBG_FDS_T24_WEB-138","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","1 second","584 KB","6 minutes and 33 seconds","1 hour","0 seconds","Disabled"
"FDBG_PAC_ELK-126-old","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","6 seconds","9.05 MB","40 minutes","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_KPT-69","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 seconds","17.77 MB","54 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_MULTICORE-68","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 seconds","16.08 MB","1 hour, 12 minutes and 18 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_LOS_MULTICORE_FTP-6","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","3 seconds","19.45 MB","2 hours, 18 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_VICALL_OOB","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","4 seconds","20.28 MB","1 hour, 12 minutes and 36 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_Xforce_ELK.","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","15 minutes and 7 seconds","8.97 GB","1 hour, 48 minutes and 38 seconds","8 hours","0 seconds","Disabled"
"FDBG_PAC_Xforce_web","Error","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 41 seconds","1.01 GB","4 hours, 27 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"GANESHA-ADMIN-PROXY-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","7 seconds","60.63 MB","1 hour, 6 minutes and 53 seconds","8 hours","0 seconds","Disabled"
"GANESHA-CACHE-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","8 seconds","91.1 MB","2 hours, 3 minutes and 17 seconds","8 hours","0 seconds","Disabled"
"GANESHA-CTL-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","5 minutes and 30 seconds","1.04 GB","1 hour, 27 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"GANESHA-DB-NEW","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","3 seconds","9.66 MB","?","5 minutes","0 seconds","Disabled"
"GANESHA-DB-SLAVE-NEW","Error (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","21 minutes","23.58 GB","5 hours, 7 minutes and 1 second","5 minutes","5 hours and 1 minute","Disabled"
"GANESHA-ELK-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","11 minutes and 8 seconds","3.66 GB","3 hours, 12 minutes and 10 seconds","8 hours","0 seconds","Disabled"
"GANESHA-MGATE-PROXY-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","9 seconds","76.05 MB","?","8 hours","0 seconds","Disabled"
"GANESHA-SSL-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","13 seconds","135.9 MB","2 hours, 42 minutes and 37 seconds","8 hours","0 seconds","Disabled"
"GANESHA-WEB-TELLER-NEW","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Disabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 17, 2026","2 minutes and 32 seconds","641.27 MB","3 hours, 9 minutes and 34 seconds","8 hours","0 seconds","Disabled"
