"Virtual Machine","Status","Source","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"BJJ-LOS","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 20, 2026","1 second","47.16 MB","7 hours, 59 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"BJJ-MDW","OK","10.10.40.8","vSphere_Replication_OVF10-new","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 20, 2026","2 seconds","70.24 MB","1 hour, 13 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"BJJ-SSL-BIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 20, 2026","2 seconds","12.37 MB","5 hours, 45 minutes and 3 seconds","8 hours","0 seconds","Disabled"
"BJJ-SSL-PIB","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 20, 2026","2 seconds","15.45 MB","6 hours, 8 minutes and 34 seconds","8 hours","0 seconds","Disabled"
"BJJ-VELIS","OK","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BJJ-DR","Datastore Default","Jun 20, 2026","2 seconds","19.74 MB","4 hours, 28 minutes and 33 seconds","8 hours","0 seconds","Disabled"
"BMI-RHEL-6.6-MAILSERVER","Recovered","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BMI-DR","Datastore Default","Jun 17, 2026","1 second","5.33 MB","63 hours, 10 minutes and 32 seconds","8 hours","","Disabled"
"BMI-RHEL-8.6-FRAUD","Recovered","10.10.40.8","vSphere_Replication_OVF10-new","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","BMI-DR","Datastore Default","Jun 17, 2026","3 seconds","153.41 MB","62 hours, 57 minutes and 21 seconds","8 hours","","Disabled"
"BMI-RHEL-8.6-MERCHANT-QRIS","Recovered","10.10.40.8","vSphere_Replication_OVF10-new","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BMI-DR","Datastore Default","Jun 17, 2026","1 second","45.17 MB","63 hours, 9 minutes and 47 seconds","8 hours","","Disabled"
"BMI-RHEL-9-ADMIN-Obsolete","Recovered","10.10.40.8","vSphere_Replication_OVF10-new","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","BMI-DR","Datastore Default","Jun 17, 2026","19 seconds","435.34 MB","63 hours, 47 minutes and 22 seconds","8 hours","","Disabled"
"BMI-RHEL-9-DB","Recovered","10.10.40.8","vSphere_Replication_OVF10-new","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","BMI-DR","Datastore Default","Jun 18, 2026","2 seconds","4.77 MB","62 hours, 15 minutes and 1 second","5 minutes","","Disabled"
