"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"PDSB-IBMB-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","7.82 MB","4 hours, 9 minutes and 49 seconds","8 hours","0 seconds","Disabled"
"PDSB-MGATE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","18 seconds","196.88 MB","2 hours, 31 minutes and 9 seconds","8 hours","0 seconds","Disabled"
"PDSB-PGSQL","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","16 seconds","2.37 MB","?","5 minutes","0 seconds","Disabled"
"PDSB-PGSQL-SLAVE","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","3.15 MB","?","5 minutes","0 seconds","Disabled"
"PDSB-PROXY-ADM","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","2 seconds","6.13 MB","3 hours, 4 minutes and 6 seconds","8 hours","0 seconds","Disabled"
"PDSB-PROXY-MGATE","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","0 seconds","2.23 MB","48 minutes and 52 seconds","8 hours","0 seconds","Disabled"
"PDSB-REDIS","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","36.19 MB","13 minutes and 5 seconds","8 hours","0 seconds","Disabled"
"PDSB-SSL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","10.97 MB","2 hours, 21 minutes and 50 seconds","8 hours","0 seconds","Disabled"
"PDSB-VCALL","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","11 seconds","110.58 MB","2 hours, 21 minutes and 35 seconds","8 hours","0 seconds","Disabled"
"VFDS-KLCVNAPP-082","OK","192.168.191.26","FDS-VREP-RMP-26","","19 of 19","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","32 seconds","62.72 MB","7 minutes and 34 seconds","30 minutes","0 seconds","Disabled"
"VFDS-KLCVNCHN-087","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","26 seconds","394.89 MB","56 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNCHN-115","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 minute and 2 seconds","230.13 MB","26 minutes and 3 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNCHN-116","OK","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","55 seconds","295.63 MB","22 minutes and 53 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNNGX-098","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","688 KB","53 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLCVNWEB-091","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","3 seconds","1.98 MB","13 minutes and 9 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSIGVER-114","OK","192.168.191.26","FDS-VREP-RMP-26","","18 of 18","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 42 seconds","1.22 GB","3 minutes and 57 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSURNGX-100","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","1.01 MB","16 minutes and 14 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHAPP-083","OK","192.168.191.26","FDS-VREP-RMP-26","","8 of 8","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 3 seconds","7.36 MB","6 minutes and 16 seconds","30 minutes","0 seconds","Disabled"
"VFDS-KLSYHCHN-088","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 3 seconds","149.25 MB","6 minutes and 2 seconds","1 hour","0 seconds","Disabled"
"VFDS-KLSYHCHN-120","OK","192.168.191.26","FDS-VREP-RMP-26","","5 of 5","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 minute and 9 seconds","53.59 MB","11 minutes and 16 seconds","1 hour","0 seconds","Disabled"
